P005,H009,EQ007|EQ011
P005,H010,EQ007|EQ008|EQ010
P005,H013,EQ008|EQ012
P004,H008,EQ001|EQ004
P004,H005,EQ015|EQ016|EQ017
P004,H007,EQ002|EQ005
P015,H009,EQ007|EQ011
P015,H001,EQ002|EQ006
P015,H004,EQ016|EQ017
P007,H012,EQ001|EQ003
P007,H014,EQ008|EQ012
P007,H003,EQ001|EQ006
P006,H009,EQ007|EQ011
P006,H002,EQ001|EQ002
P006,H004,EQ015|EQ016
P006,H007,EQ001|EQ005
P001,H004,EQ015|EQ016|EQ012
P001,H015,EQ001|EQ019|EQ014
P001,H007,EQ001|EQ005|EQ014
P012,H012,EQ001|EQ003
P012,H001,EQ002|EQ013
P012,H006,EQ015|EQ016
P011,H008,EQ004|EQ006
P011,H011,EQ001|EQ005
P011,H003,EQ001|EQ006
P003,H011,EQ001|EQ003|EQ014
P003,H003,EQ006|EQ012
P003,H002,EQ001|EQ002|EQ013
P014,H010,EQ009|EQ011
P014,H013,EQ008|EQ012
P014,H015,EQ005|EQ019
P002,H012,EQ001|EQ005|EQ014
P002,H001,EQ001|EQ002|EQ013
P002,H006,EQ015|EQ016|EQ018
P013,H014,EQ008|EQ018
P013,H005,EQ015|EQ017
P013,H007,EQ001|EQ005
P009,H005,EQ016|EQ017
P009,H015,EQ001|EQ019
P009,H007,EQ002|EQ005
P008,H008,EQ001|EQ005
P008,H001,EQ001|EQ003
P008,H011,EQ001|EQ014
P010,H010,EQ007|EQ010
P010,H012,EQ003|EQ005
P010,H013,EQ008|EQ015
P010,H006,EQ015|EQ018
